GEO_CODE,Pakistani,Bangladeshi,Back_African
E02004679,0.002615234,0.001307617,0.00228833
E02004680,0.003151592,0.000630318,0.008509297
E02004681,0.002157709,0.003138486,0.027069439
E02004682,0.001149095,0.002010916,0.015800057
E02004683,0.003146853,0.005244755,0.017132867
E02004684,0.003406326,0.001459854,0.020924574
E02004685,0.005085823,0.001271456,0.01207883
E02004686,0.002963362,0.011314655,0.014008621
E02004687,0.003605375,0.002622091,0.011471649
E02004688,0.003120666,0.003120666,0.010402219
E02004689,0,0.003278689,0.005245902
E02004690,0.002607562,0.004237288,0.011734029
E02004691,0,0.001664586,0.002913025
E02004692,0.010105871,0.00240616,0.001924928
E02004693,0.003541533,0.001931745,0.017063748
E02004694,0.001707213,0,0.002134016
E02004695,0.003972891,0.001635896,0.006309885
E02004696,0.001926782,0.001926782,0.002890173
E02004697,0.00054615,0.002730748,0.010376843
E02004698,0.001942691,0.003885381,0.003885381
E02004699,0,0.00107904,0.008632317
E02004700,0,0.003988831,0.020343039
E02004702,0,0.00124108,0.009928638
E02004703,0,0,0.000628338
E02004704,0,0.002082249,0.012493493
E02004705,0.001088929,0,0.008711434
E02004706,0,0.000418936,0.006702974
E02004707,0,0.001708915,0.002278553
E02004708,0,0.001606168,0.008030838
E02004709,0,0.001684211,0
E02004710,0,0.001867414,0.000933707
E02004712,0.006960557,0.001933488,0.010440835
E02004713,0,0.000765111,0.010328998
E02004714,0.000763359,0.001526718,0.004198473
E02004715,0,0.005849854,0.006174846
E02004716,0.000615385,0.000615385,0.002153846
E02004717,0.000739098,0.003695492,0.010593742
E02004718,0.003768844,0.00678392,0.013819095
E02004719,0.000594177,0.000594177,0.001782531
E02004720,0.002645503,0,0.002116402
E02004721,0.00259863,0.002362391,0.003779825
E02004722,0.001618123,0.007686084,0.001213592
E02004723,0.002150538,0.001228879,0.004608295
E02004724,0,0.000668673,0.001337345
E02004725,0,0.001063264,0.004784689
E02004726,0,0.000968054,0.001936108
E02004727,0.000558659,0.001396648,0.002513966
E02004728,0,0.000609756,0.003353659
E02004729,0,0.000731529,0.002926116
E02004730,0.002744022,0.000784006,0.001960016
E02004731,0,0,0.002550091
E02004732,0,0,0.003437739
E02004733,0.001554606,0.000777303,0.001165954
E02004734,0.006458558,0.001614639,0.001883746
E02004735,0.000446828,0,0.00178731
E02004736,0,0.001304915,0.001739887
E02004737,0.001391788,0.003479471,0.001391788
E02004738,0.00042337,0.00042337,0.00338696
E02004739,0,0.00110742,0
E02004740,0,0.00144648,0.004821601
E02004741,0,0.001160991,0.001934985
E02004742,0.000821018,0.001231527,0.004515599
E02004743,0.000712758,0.002138275,0.000712758
E02004744,0,0,0.018630413
E02004745,0.000267523,0.001070091,0.001070091
E02004746,0.000554631,0,0.004159734
E02004747,0.000803536,0,0.004419446
E02004748,0.001054296,0.000263574,0.005535055
E02004749,0,0.002097535,0.002621919
E02004750,0.001914242,0,0.001531394
E02004751,0.001795977,0.000718391,0.002514368
E02004752,0.000666445,0.000999667,0.003665445
E02004753,0.001687764,0.000281294,0.011251758
E02004754,0.001061008,0.002122016,0.002122016
E02004755,0.002502406,0.00481232,0.005197305
E02004756,0.002646378,0.003307972,0.002315581
E02004757,0.000827815,0.001655629,0.002483444
E02004758,0.004462475,0,0.009330629
